	Time	Field	Moment	Temerature	dMoment	Kramer	Jc	Fp	Km	Hnorm	Fpnorm
870	435264.0	2.3536	-0.08905718	4.167	0.17420289	0.51696465	0.036674292631578946	0.08631661513768421	0.2371996461604899	0.5591030026605853	0.9306947028480856
871	435764.0	2.3586	-0.08890116	4.167	0.17391854	0.51681666	0.036614429473684214	0.08635879335663159	0.23713175157075525	0.560290763968073	0.9311494825551823
872	436264.0	2.3636	-0.08871925	4.167	0.17362404	0.51665237	0.036552429473684214	0.086395322304	0.2370563642124809	0.5614785252755606	0.9315433499208358
873	436764.0	2.3687	-0.08856391	4.166	0.17335116	0.51652446	0.03649498105263158	0.08644566161936842	0.2369976754160298	0.562690041809198	0.9320861253075172
874	437264.0	2.3736	-0.08840789	4.166	0.17308895	0.51640039	0.03643977894736842	0.08649345930947369	0.23694074530674378	0.563854047890536	0.9326014960379193
875	437764.0	2.3786	-0.08826754	4.166	0.17279726	0.51623659	0.03637837052631579	0.08652959213389474	0.23686559017125	0.5650418091980236	0.9329910922730587
876	438264.0	2.3836	-0.08813741	4.166	0.1725092	0.51607697	0.03631772631578947	0.08656693244631579	0.23679235127559747	0.5662295705055111	0.9333937080489151
877	438764.0	2.3887	-0.08800728	4.166	0.17222395	0.51592572	0.036257673684210526	0.08660870512947369	0.23672295333576776	0.5674410870391486	0.9338441151330761
878	439264.0	2.3936	-0.08786693	4.166	0.17194533	0.51577239	0.03619901684210527	0.08664596671326318	0.2366526008074562	0.5686050931204866	0.9342458820304143
879	439764.0	2.3986	-0.08771091	4.166	0.17164141	0.51558526	0.036135033684210525	0.08667349179494736	0.2365667422586692	0.5697928544279741	0.9345426666955459
880	440264.0	2.4036	-0.08754467	4.166	0.17132545	0.51537873	0.03606851578947368	0.08669428455157895	0.23647197828633476	0.5709806157354618	0.934766861173327
881	440764.0	2.4087	-0.08738865	4.167	0.17103852	0.51521992	0.03600810947368421	0.08673273328926316	0.23639911061790336	0.5721921322690993	0.9351814283622374
