4.2K Nb4Ta_D1_1.01mm_210C_48h_410C_50h_670C_48h 11-14-2019
11:27 AM, Thursday, November 14, 2019
File Description: l=4.75mm;d=1.1mm
Vibration Amplitude [mm]: 1.500
Calibrated at 1.5mm; Data apporpriately scaled for reduced amplitude
Vibration Frequency [Hz]: 55.00
Helium Level [%]: 75.0
Center [mm]: 14.26
Operator Name: Nawaraj

Time [ms]	Field [T]	Moment [emu]	Temp [K]	dMoment [emu]	Kramer
124614.00000000	-0.75270000	-0.14674966	4.18500000	0.33926365	0.54253048
125114.00000000	-0.74780000	-0.14853809	4.18500000	0.34157439	0.54348682
125614.00000000	-0.74280000	-0.15022160	4.18500000	0.34381842	0.54435541
126114.00000000	-0.73790000	-0.15182267	4.18500000	0.34595766	0.54514352
126614.00000000	-0.73270000	-0.15338219	4.18500000	0.34806032	0.54583176
127114.00000000	-0.72780000	-0.15487902	4.18500000	0.35009993	0.54651114
127614.00000000	-0.72280000	-0.15635542	4.18500000	0.35216279	0.54717503
128114.00000000	-0.71790000	-0.15781069	4.18500000	0.35423449	0.54784967
128614.00000000	-0.71290000	-0.15922509	4.18700000	0.35620987	0.54841602
129114.00000000	-0.70780000	-0.16061768	4.18800000	0.35816397	0.54893205
129614.00000000	-0.70280000	-0.16201095	4.18900000	0.36010056	0.54943945
130114.00000000	-0.69790000	-0.16336267	4.19000000	0.36201178	0.54993283
130614.00000000	-0.69290000	-0.16469326	4.19000000	0.36392281	0.55039221
131114.00000000	-0.68780000	-0.16598230	4.19000000	0.36574873	0.55075310
131614.00000000	-0.68280000	-0.16725021	4.19000000	0.36749417	0.55105964
132114.00000000	-0.67790000	-0.16673038	4.19000000	0.36743505	0.55002407
132614.00000000	-0.67290000	-0.16600274	4.19000000	0.36720653	0.54883630
133114.00000000	-0.66780000	-0.16668882	4.19000000	0.36841425	0.54869350
133614.00000000	-0.66280000	-0.16806165	4.18900000	0.37032880	0.54908473
134114.00000000	-0.65790000	-0.16957892	4.18900000	0.37238505	0.54958654
134614.00000000	-0.65290000	-0.17086864	4.18900000	0.37421465	0.54988524
135114.00000000	-0.64780000	-0.16652258	4.18900000	0.37040882	0.54601037
135614.00000000	-0.64280000	-0.16259279	4.18900000	0.36699620	0.54243756
136114.00000000	-0.63790000	-0.16246811	4.18800000	0.36730786	0.54163069
136614.00000000	-0.63290000	-0.16411075	4.18800000	0.36938947	0.54209579
137114.00000000	-0.62780000	-0.16616898	4.18800000	0.37196990	0.54288673
137614.00000000	-0.62280000	-0.16816521	4.18800000	0.37450640	0.54364672
138114.00000000	-0.61790000	-0.17005720	4.18800000	0.37693575	0.54433118
138614.00000000	-0.61290000	-0.17182520	4.18800000	0.37918327	0.54484377
139114.00000000	-0.60780000	-0.17350939	4.18800000	0.38138165	0.54528063
139614.00000000	-0.60280000	-0.17513090	4.18800000	0.38344381	0.54562490
140114.00000000	-0.59790000	-0.17666998	4.18700000	0.38543885	0.54592739
140614.00000000	-0.59270000	-0.17816681	4.18700000	0.38738919	0.54611296
141114.00000000	-0.58780000	-0.17960165	4.18700000	0.38924480	0.54628441
141614.00000000	-0.58280000	-0.18101536	4.18600000	0.39111670	0.54642815
142114.00000000	-0.57790000	-0.17883245	4.18600000	0.38938976	0.54407082
142614.00000000	-0.57290000	-0.16889285	4.18600000	0.37988733	0.53622507
143114.00000000	-0.56780000	-0.16427698	4.18500000	0.37572983	0.53209195
143614.00000000	-0.56280000	-0.16461014	4.18500000	0.37654080	0.53148932
144114.00000000	-0.55790000	-0.16679306	4.18500000	0.37918052	0.53218435
144614.00000000	-0.55290000	-0.16935069	4.18500000	0.38219561	0.53309486
145114.00000000	-0.54780000	-0.17180476	4.18500000	0.38510638	0.53388272
145614.00000000	-0.54280000	-0.17407079	4.18500000	0.38780862	0.53452582
146114.00000000	-0.53790000	-0.17617058	4.18600000	0.39032451	0.53504252
146614.00000000	-0.53270000	-0.17806257	4.18600000	0.39267001	0.53534597
147114.00000000	-0.52780000	-0.17943541	4.18600000	0.39446196	0.53532794
147614.00000000	-0.52280000	-0.18097380	4.18600000	0.39641778	0.53537792
148114.00000000	-0.51790000	-0.18271999	4.18600000	0.39859901	0.53558646
148615.00000000	-0.51290000	-0.18454999	4.18600000	0.40084892	0.53579485
149115.00000000	-0.50780000	-0.18631730	4.18700000	0.40309070	0.53595036
